Comment,Designator,Footprint,LCSC
10kΩ,R6,R_0805_2012Metric,C100047
14pF,"C5,C6",C_0805_2012Metric,C107110
5.1kΩ,"R1,R5",R_0805_2012Metric,C112314
C116159,J1,USB_C_Receptacle_Palconn_UTC16-G,C116159
27Ω,"R2,R3",R_0603_1608Metric,C137890
RP2040,U4,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,C2040
1μF,"C1,C11,C4,C8",C_0805_2012Metric,C24123
C261953,F1,Fuse_1206_3216Metric,C261953
WS2812B,"LED1,U1",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,C2843785
RBP_GPIO_CONN,J3,PinHeader_2x20_P2.54mm_Vertical,C429965
100nF,"C10,C12,C13,C14,C15,C16,C17,C18,C7,C9",C_0805_2012Metric,C49678
X322512MMB4SI,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C50430
SW_Push,"SW1,SW2,SW3,SW4,SW5,SW6,SW7,SW8",SW_TSC016XXXXXXX_4.5x3.0_H2.75,C561500
WQ25JVS,U3,FLASH-SOIC-8,C82317
10μF,"C2,C3",C_1206_3216Metric,C9807
