Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1μF,C_0805_2012Metric,147.99,-87.45,90.0,bottom
C2,10μF,C_1206_3216Metric,143.35,-70.675,180.0,bottom
C3,10μF,C_1206_3216Metric,143.35,-73.1,180.0,bottom
C4,1μF,C_0805_2012Metric,127.5,-68.1,90.0,bottom
C5,14pF,C_0805_2012Metric,118.1,-80.6,180.0,bottom
C6,14pF,C_0805_2012Metric,118.1,-74.84,180.0,bottom
C7,100nF,C_0805_2012Metric,136.5,-77.0,90.0,bottom
C8,1μF,C_0805_2012Metric,129.6,-68.1,90.0,bottom
C9,100nF,C_0805_2012Metric,131.760003,-70.932167,0.0,bottom
C10,100nF,C_0805_2012Metric,118.107598,-72.739694,180.0,bottom
C11,1μF,C_0805_2012Metric,123.3,-68.1,90.0,bottom
C12,100nF,C_0805_2012Metric,125.4,-68.1,90.0,bottom
C13,100nF,C_0805_2012Metric,127.760003,-81.929685,-90.0,bottom
C14,100nF,C_0805_2012Metric,123.340188,-81.932082,-90.0,bottom
C15,100nF,C_0805_2012Metric,121.2,-68.1,90.0,bottom
C16,100nF,C_0805_2012Metric,121.360289,-81.932082,-90.0,bottom
C17,100nF,C_0805_2012Metric,118.107598,-70.476952,180.0,bottom
C18,100nF,C_0805_2012Metric,125.320087,-81.932082,-90.0,bottom
F1,C261953,Fuse_1206_3216Metric,154.2,-68.0,180.0,bottom
FID1,"0,1",Fiducial_1mm_Mask2mm,103.8,-80.25,0.0,top
FID2,"0,0",Fiducial_1mm_Mask2mm,139.5,-89.5,0.0,top
FID3,"1,0",Fiducial_1mm_Mask2mm,141.4,-65.5,0.0,top
J1,C116159,USB_C_Receptacle_Palconn_UTC16-G,151.625,-59.3,0.0,bottom
J3,RBP_GPIO_CONN,PinHeader_2x20_P2.54mm_Vertical,142.9,-57.725,-90.0,top
LED1,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,152.825,-86.825,0.0,bottom
R1,5.1kΩ,R_0805_2012Metric,154.29,-64.03,0.0,bottom
R2,27Ω,R_0603_1608Metric,131.55,-72.65,180.0,bottom
R3,27Ω,R_0603_1608Metric,131.55,-74.25,180.0,bottom
R5,5.1kΩ,R_0805_2012Metric,149.46,-64.03,180.0,bottom
R6,10kΩ,R_0805_2012Metric,136.5,-81.0,90.0,bottom
SW1,SW_Push,SW_TSC016XXXXXXX_4.5x3.0_H2.75,102.9,-86.4,-90.0,top
SW2,SW_Push,SW_TSC016XXXXXXX_4.5x3.0_H2.75,131.96,-87.8,0.0,top
SW3,SW_Push,SW_TSC016XXXXXXX_4.5x3.0_H2.75,95.8,-79.6,180.0,top
SW4,SW_Push,SW_TSC016XXXXXXX_4.5x3.0_H2.75,141.95,-79.6,0.0,top
SW5,SW_Push,SW_TSC016XXXXXXX_4.5x3.0_H2.75,102.9,-72.8,-90.0,top
SW6,SW_Push,SW_TSC016XXXXXXX_4.5x3.0_H2.75,153.0,-79.6,0.0,top
SW7,SW_Push,SW_TSC016XXXXXXX_4.5x3.0_H2.75,109.2,-79.6,180.0,top
SW8,SW_Push,SW_TSC016XXXXXXX_4.5x3.0_H2.75,119.8,-87.8,0.0,top
TP1,MCU 3v3,Testpoint_Custom,128.5,-71.5,0.0,top
TP2,MCU 1v2,Testpoint_Custom,128.5,-73.5,0.0,top
TP3,RUN,Testpoint_Custom,112.5,-66.5,0.0,top
TP4,SWCLK,Testpoint_Custom,111.5,-67.5,0.0,top
TP5,LED DATA,Testpoint_Custom,155.175,-87.375,0.0,top
TP6,SWD,Testpoint_Custom,112.5,-67.5,0.0,top
TP7,RUN_GND,Testpoint_Custom,111.5,-66.5,0.0,top
TP8,VBUS,Testpoint_Custom,151.1,-69.85,0.0,top
TP9,LDO_{VOUT},Testpoint_Custom,145.6,-72.925,0.0,top
TP10,LDO_{VIN},Testpoint_Custom,144.825,-69.425,0.0,top
TP11,SWD_3V3,Testpoint_Custom,113.5,-66.5,0.0,top
TP12,~{CS},Testpoint_Custom,134.075,-79.25,0.0,top
U1,ASM1117-3.3,SOT-223-3_TabPin2,150.2,-73.1,0.0,bottom
U3,WQ25JVS,FLASH-SOIC-8,132.160001,-80.032167,90.0,bottom
U4,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,125.0,-75.0,90.0,bottom
Y1,X322512MMB4SI,Crystal_SMD_3225-4Pin_3.2x2.5mm,117.966177,-77.689441,180.0,bottom
