Comment,Designator,Footprint,LCSC
100nF,"C10,C12,C13,C14,C15,C16,C17,C18,C7,C9",C_0603_1608Metric,C14663
C1',"C5,C6",C_0603_1608Metric,C165823
10kΩ,"R6,R7,R8",R_0603_1608Metric,C17414
RP2040,U4,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,C2040
5.1kΩ,"R4,R5",R_0805_2012Metric,C217926
GPIO Header,J3,PinHeader_2x20_P2.54mm_Vertical,C2685169
SMD1206-010C-60V ,F1,Fuse_1206_3216Metric,C2760265
X322512MMB4SI,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C2838412
WS2812B,LED1,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,C2843785
ESR_Adj,R10,R_0603_1608Metric,C2907113
MC-307,J1,USB_C_Receptacle_Palconn_UTC16-G,C2927038
27Ω,"R2,R3",R_0603_1608Metric,C403127
SW_Push,"SW5,SW6,SW7,SW8",SW_TSC016XXXXXXX_4.5x3.0_H2.75,C561500
SW_Push,"SW1,SW2,SW3,SW4",SW_SPST_TL3305A,C692466
MBR0540,D2,D_SOD-123,C699113
1μF,"C1,C11,C8",C_0805_2012Metric,C77046
10μF,"C2,C3,C4",C_0805_2012Metric,C77075
W25Q32JVZP,U3,FLASH-SOIC-8,C82344
AP2112K-3.3,U1,SOT-23-5,C82942
