Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1μF,C_0805_2012Metric,3.525,-14.85,0.0,top
C2,10μF,C_0805_2012Metric,18.89375,-21.75,-90.0,bottom
C3,10μF,C_0805_2012Metric,21.09375,-21.75,-90.0,bottom
C4,10μF,C_0805_2012Metric,24.7,-21.8,180.0,bottom
C5,C1',C_0603_1608Metric,37.425,-32.25,-90.0,bottom
C6,C2',C_0603_1608Metric,32.2,-35.95,-90.0,bottom
C7,100nF,C_0603_1608Metric,40.425,-12.9,-90.0,bottom
C8,1μF,C_0603_1608Metric,26.725,-19.175,90.0,bottom
C9,100nF,C_0603_1608Metric,28.325,-19.175,90.0,bottom
C10,100nF,C_0603_1608Metric,30.6,-32.26,-90.0,bottom
C11,1μF,C_0603_1608Metric,24.925,-25.3,180.0,bottom
C12,100nF,C_0603_1608Metric,24.925,-23.65,180.0,bottom
C13,100nF,C_0603_1608Metric,38.75,-22.15,0.0,bottom
C14,100nF,C_0603_1608Metric,38.755,-26.66,0.0,bottom
C15,100nF,C_0603_1608Metric,24.935,-26.94,180.0,bottom
C16,100nF,C_0603_1608Metric,38.75,-28.3,0.0,bottom
C17,100nF,C_0603_1608Metric,24.925,-28.7,180.0,bottom
C18,100nF,C_0603_1608Metric,38.75,-23.75,0.0,bottom
D2,MBR0540,D_SOD-123,12.125,-10.45,90.0,bottom
F1,SMD1206-010C-60V ,Fuse_1206_3216Metric,12.125,-5.55,-90.0,bottom
FID1,"0,0",Fiducial_1mm_Mask2mm,79.225,-7.8,0.0,top
FID1,"0,0",Fiducial_1mm_Mask2mm,79.225,-7.8,180.0,bottom
FID2,"1,0",Fiducial_1mm_Mask2mm,56.325,-37.65,0.0,top
FID2,"1,0",Fiducial_1mm_Mask2mm,56.325,-37.65,180.0,bottom
FID3,"0,1",Fiducial_1mm_Mask2mm,6.475,-5.3,0.0,top
FID3,"0,1",Fiducial_1mm_Mask2mm,6.475,-5.3,180.0,bottom
H1,"0,0",MountingHole_2.2mm_M2_Pad,2.75,-2.8,0.0,top
H2,"1,0",MountingHole_2.2mm_M2_Pad,80.975,-2.8,0.0,top
H3,"?,?",MountingHole_2.2mm_M2_Pad,43.225,-22.55,0.0,top
H4,"1,0",MountingHole_2.2mm_M2_Pad,2.75,-40.3,0.0,top
H5,"1,0",MountingHole_2.2mm_M2_Pad,80.975,-40.3,0.0,top
J1,MC-307,USB_C_Receptacle_Palconn_UTC16-G,19.225,-4.375,0.0,bottom
J2,SWD/JTAG TC Pads,TC_BT_PADS,25.525,-36.45,90.0,top
J3,GPIO Header,PinHeader_2x20_P2.54mm_Vertical,26.8,-7.025,90.0,top
LED1,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,5.225,-18.85,0.0,top
LOGO_1_BOTTOM,eng_maker_space_ss,eng_maker_space_ss,76.9,-31.95,180.0,bottom
LOGO_1_TOP,eng_maker_space_ss,eng_maker_space_ss,64.76165,-31.956351,0.0,top
R2,27Ω,R_0603_1608Metric,29.925,-19.25,-90.0,bottom
R3,27Ω,R_0603_1608Metric,31.625,-19.25,-90.0,bottom
R4,5.1kΩ,R_0805_2012Metric,21.525,-10.15,-90.0,bottom
R5,5.1kΩ,R_0805_2012Metric,16.825,-10.25,-90.0,bottom
R6,10kΩ,R_0603_1608Metric,40.425,-19.2,90.0,bottom
R7,10kΩ,R_0805_2012Metric,8.55,-10.25,-90.0,bottom
R8,10kΩ,R_0805_2012Metric,16.74375,-18.15,90.0,bottom
R10,ESR_Adj,R_0603_1608Metric,32.2,-32.25,-90.0,bottom
SW1,SW_Push,SW_SPST_TL3305A,5.825,-26.05,0.0,top
SW2,SW_Push,SW_SPST_TL3305A,13.225,-18.6,90.0,top
SW3,SW_Push,SW_SPST_TL3305A,13.225,-33.45,90.0,top
SW4,SW_Push,SW_SPST_TL3305A,20.675,-26.05,0.0,top
SW5,SW_Push,SW_TSC016XXXXXXX_4.5x3.0_H2.75,37.025,-38.55,0.0,top
SW6,SW_Push,SW_TSC016XXXXXXX_4.5x3.0_H2.75,49.525,-38.45,0.0,top
SW7,SW_Push,SW_TSC016XXXXXXX_4.5x3.0_H2.75,66.725,-25.55,90.0,top
SW8,SW_Push,SW_TSC016XXXXXXX_4.5x3.0_H2.75,79.225,-25.55,90.0,top
TP1,MCU 3v3,Testpoint_Custom,33.525,-20.95,90.0,top
TP2,~{RESET},Testpoint_Custom,22.425,-38.95,0.0,top
TP3,MCU 1v2,Testpoint_Custom,32.425,-19.45,0.0,top
TP5,LED DATA,Testpoint_Custom,7.625,-15.05,0.0,top
TP8,VBUS,Testpoint_Custom,9.045,-6.96,0.0,top
TP9,LDO_{VOUT},Testpoint_Custom,21.125,-19.95,0.0,top
TP10,LDO_{VIN},Testpoint_Custom,8.625,-11.55,0.0,top
TP11,LDO_{EN},Testpoint_Custom,17.725,-15.75,0.0,top
TP12,~{CS},Testpoint_Custom,41.945,-19.46,0.0,top
U1,AP2112K-3.3,SOT-23-5,19.94375,-18.1,0.0,bottom
U3,W25Q32JVZP,FLASH-SOIC-8,36.475,-16.0,90.0,bottom
U4,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,32.002817,-25.572183,180.0,bottom
Y1,X322512MMB4SI,Crystal_SMD_3225-4Pin_3.2x2.5mm,34.825,-32.85,-90.0,bottom
